@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 

https,5.0,4,4,false,5.0,10.0,10.0,7.0,15.0,false
https,6.0,5,5,false,24.0,30.0,10.0,14.0,16.0,false
https,7.0,2,2,false,12.0,16.0,13.0,8.0,15.0,false
https,6.0,38,38,false,6.0,10.0,10.0,-1.0,11.0,false
https,10.0,2,2,false,53.0,45.0,14.0,-1.0,19.0,false
https,11.0,27,27,false,6.0,6.0,9.0,6.0,12.0,false
https,5.0,17,17,false,5.0,12.0,8.0,9.0,13.0,false
https,18.0,0,0,false,23.0,17.0,12.0,-1.0,-1.0,false
https,10.0,27,27,false,49.0,53.0,14.0,11.0,23.0,false
http,7.0,303,303,false,66.0,73.0,10.0,5.0,15.0,false
https,18.0,1,1,false,20.0,10.0,10.0,12.0,21.0,false
http,18.0,7,7,false,83.0,72.0,9.0,12.0,21.0,false
https,5.0,0,0,false,5.0,6.0,6.0,-1.0,-1.0,false
http,5.0,2,2,false,11.0,16.0,10.0,5.0,15.0,false
http,24.0,590,590,false,132.0,110.0,16.0,-1.0,27.0,false
https,5.0,1,1,false,12.0,10.0,10.0,-1.0,15.0,false
https,14.0,9,9,false,53.0,44.0,10.0,-1.0,29.0,false
http,5.0,66,66,false,24.0,30.0,9.0,0.0,6.0,false
https,10.0,8,8,false,52.0,39.0,8.0,-1.0,12.0,false
https,5.0,45,45,false,59.0,70.0,12.0,12.0,17.0,false
https,6.0,7,7,false,16.0,20.0,10.0,-1.0,16.0,false
http,14.0,4,4,false,58.0,47.0,7.0,-1.0,21.0,false
http,12.0,2,2,false,45.0,48.0,10.0,5.0,14.0,false
https,11.0,131,131,false,51.0,55.0,13.0,-1.0,16.0,false
http,18.0,1,1,false,43.0,29.0,4.0,19.0,24.0,false
http,24.0,442,442,false,127.0,102.0,6.0,25.0,32.0,false
http,11.0,7,7,false,22.0,13.0,15.0,12.0,19.0,false
http,8.0,0,0,false,10.0,16.0,16.0,4.0,8.0,false
https,5.0,1,1,false,12.0,10.0,10.0,-1.0,15.0,false
http,22.0,44,44,false,56.0,43.0,9.0,-1.0,24.0,false
http,17.0,4,4,false,61.0,49.0,9.0,19.0,21.0,false
http,0.0,0,0,false,46.0,56.0,10.0,0.0,9.0,false
https,6.0,6,6,false,6.0,10.0,10.0,-1.0,18.0,false
http,17.0,85,85,false,29.0,21.0,9.0,18.0,21.0,false
http,18.0,1,1,false,41.0,18.0,2.0,-1.0,-1.0,false

http,9.0,6,6,false,76.0,71.0,10.0,14.0,19.0,false
