@relation Phishing.Detection

@attribute hostname string
 @attribute ipaddress {True,False}
 @attribute portNumber {True,False}
 @attribute protocol {http,https,other}
 @attribute domain_in_hostname {True,False}
 @attribute obfuscation_characters {True,False}
 @attribute subdomain_path {True,False}
 @attribute max_length integer
 @attribute phising {True,False}

 @data 
'www.nowaswiadomosc.pl',False,False,http,False,False,True,32,True
'www.fastadesivos.com.br',False,False,http,False,False,False,9,True
'herpnation.com',False,False,http,False,False,False,39,True
'www.a-stone.kz',False,False,http,False,False,False,6,True
'fb.com.accounts.login.userid.293160.2bjdm.com',False,False,http,True,False,False,3,True
'www.durbanjuly2015.co.za',False,False,http,False,False,False,8,True
'huus.dk',False,False,http,False,False,False,8,True
'www.abraham-lincoln-history.org',False,False,http,False,False,False,32,True
'gp3f.com',False,False,http,False,False,False,11,True
'jandymen.com',False,False,http,False,False,False,8,True
'www.aaaviajes.com',False,False,http,False,False,False,32,True
'hermanin.org',False,False,http,False,False,False,2,True
'www.fzraj15.ga',False,False,http,False,False,False,4,True
'gp3f.com',False,False,http,False,False,False,11,True
'www.dhh.no',False,False,http,False,False,False,11,True
'www.funerariaferrazealfredo.pt',False,False,http,False,False,False,32,True
'ip-68-178-212-35.ip.secureserver.net',False,False,http,False,False,True,17,True
'graficakgm.com.br',False,False,http,False,False,True,32,True
'nowaswiadomosc.pl',False,False,http,False,False,True,32,True
'fotoarte.art.br',False,False,http,False,False,False,3,True
'justinehats.wpwithus.com',False,False,http,False,False,False,8,True
'dockeep.net',False,False,http,False,False,False,7,True
'www.riva-properties.com',False,False,http,False,True,False,13,True
'marketingwithcandace.com',False,False,http,False,False,False,6,True
'www.nipbe.com',False,False,http,False,False,False,16,True
'www.taxmaximum.com',False,False,http,False,False,False,8,True
'www.sakshamsociety.in',False,False,http,False,False,False,9,True
'rhino-residency.com',False,False,http,False,False,True,14,True
'mytruck-drivingjob.com',False,False,http,False,False,False,32,True
'thenavodayaacademy.edu.in',False,False,http,False,False,False,6,True
'mytruck-drivingjob.com',False,False,http,False,False,False,32,True
'thenavodayaacademy.edu.in',False,False,http,False,False,False,6,True
'legspro.com',False,False,http,False,False,False,1,True
'legspro.com',False,False,http,False,False,False,7,True
'westlakevillagekneepainrelief.com',False,False,http,False,False,False,10,True
'servercentos.ddns.net',False,False,http,False,False,True,5,True
'www.verrunilandscaping.com',False,False,http,False,False,False,11,True
'techtucson.com',False,False,http,False,False,False,9,True
'dockeep.net',False,False,http,False,False,False,7,True
'anwarkasb.com',False,False,http,False,False,False,7,True
'www.j-pbikes.be',False,False,http,False,False,False,7,True
'asiangroupkw.com',False,False,http,False,False,False,4,True
'nipbe.com',False,False,http,False,False,False,16,True
'www.malabarcourt.com',False,False,http,False,False,False,11,True
'www.buildsafe.com.au',False,False,http,False,False,False,8,True
'kidsedmonton.com',False,False,http,False,False,False,7,True
'www.davidleeriffle.com',False,False,http,False,False,False,3,True
'enigmaconsulting.com',False,False,http,False,False,False,6,True
'mytruck-drivingjob.com',False,False,http,False,False,False,6,True
'ip-68-178-212-35.ip.secureserver.net',False,False,http,False,False,True,17,True
'bing.cadastrosegurocaixa.org',False,False,http,False,False,False,8,True
'seslendirme.org',False,False,http,False,False,False,32,True
'eco-ofi.com',False,False,http,False,False,False,4,True
'sashaflores.com',False,False,http,False,False,False,3,True
'sadhbhoneill.ie',False,False,http,False,False,False,0,True
'interklub.com.pl',False,False,http,False,False,False,7,True
'159.8.204.158',True,False,http,False,False,True,6,True
'dropbox-file282.hikmadeea.com',False,False,http,False,False,False,32,True
'dropbox-file282.hikmadeea.com',False,False,http,False,False,False,0,True
'dropbox-file282.hikmadeea.com',False,False,http,False,False,False,0,True
'dropbox-file282.hikmadeea.com',False,False,http,False,False,False,32,True
'brandongaudin.com',False,False,http,False,False,False,10,True
'www.fastadesivos.com.br',False,False,http,False,False,False,9,True
'sh196310.website.pl',False,False,http,False,False,False,32,True
'www.objectspay-secure.com',False,False,http,False,False,False,0,True
'www.uaicompras.com.br',False,False,http,False,False,False,4,True
'intelligentb2bmarketing.com',False,False,http,False,False,False,11,True
'www.uchmurki.pl',False,False,http,False,False,False,11,True
'www.clubqum.com',False,False,http,False,False,False,5,True
'sh196310.website.pl',False,False,http,False,False,False,32,True
'sh196310.website.pl',False,False,http,False,False,False,2,True
'secure.store.apple.com.mendivilprop.com.ar',False,False,http,True,False,True,120,True
'www.hwiz.nl',False,False,http,False,False,False,32,True
'paypal-config.com',False,False,http,False,False,False,7,True
'www.abonne-free.com',False,False,http,False,False,False,0,True
'uchmurki.pl',False,False,http,False,False,False,11,True
'art-for-you.ru',False,False,http,False,False,False,14,True
'www.apepler.com',False,False,http,False,False,True,5,True
'autocosmi.ro',False,False,http,False,False,False,32,True
'www.abraham-lincoln-history.org',False,False,http,False,False,False,8,True
'iebrahimi.com',False,False,http,False,False,True,32,True
'schmidtmechanical.com',False,False,http,False,False,False,14,True
'www.zenworld.ro',False,False,http,False,False,True,32,True
'ekodon61.ru',False,False,http,False,False,False,10,True
'currentcy.me',False,False,http,False,False,True,10,True
'loseweightfastinaweek.net',False,False,http,False,False,False,12,True
'autocosmi.ro',False,False,http,False,False,False,2,True
'autocosmi.ro',False,False,http,False,False,False,2,True
'autocosmi.ro',False,False,http,False,False,False,3,True
'eza-stroy.ru',False,False,http,False,False,False,3,True
'www.amc.co.ke',False,False,http,False,False,False,6,True
'radical-systems.net',False,False,http,False,False,False,12,True
'drive-google-com.fanalav.com',False,False,http,False,False,False,32,True
'drive-google-com.fanalav.com',False,False,http,False,False,False,32,True
'markethully.com',False,False,http,False,False,False,4,True
'jktravel.in',False,False,http,False,False,False,11,True
'www.companycalendar.nl',False,False,http,False,False,False,11,True
'americantribute.org',False,False,http,False,False,False,3,True
'www.enhancedfloors.co.uk',False,False,http,False,False,False,2,True
'magnatex.ge',False,False,http,False,False,False,32,True
'www.bariracconta.it',False,False,http,False,False,False,32,True
'ffacade.com',False,False,http,False,False,False,10,True
'www.christmas-every-day.org',False,False,http,False,False,True,75,True
'intelligentb2bmarketing.com',False,False,http,False,False,False,11,True
'rhino-residency.com',False,False,http,False,False,True,14,True
'www.sspgf.com',False,False,http,False,False,False,9,True
'stomatolog61.pro',False,False,http,False,False,False,10,True
'bambooknittingneedle.com',False,False,http,False,False,False,13,True
'www.fondazione-nannini.org',False,False,http,False,False,True,9,True
'www.hetnieuwstetestament.com',False,False,http,False,False,False,4,True
'www.huntsvillebest.com',False,False,http,False,False,False,10,True
'www.tonyguerramiami.com',False,False,http,False,False,False,10,True
