@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,159,0,196,0,1,1,0.447887,1,0.552113,0.618677,1,1,0.000002
1,159,0,195,1,0.994898,1,0.449153,1,0.550847,0.619883,0.997183,1.002825,0.000006
2,159,0,194,2,0.989796,1,0.450425,1,0.549575,0.621094,0.994366,1.005666,0.00001
3,159,0,193,3,0.984694,1,0.451705,1,0.548295,0.622309,0.991549,1.008523,0.000011
4,159,0,192,4,0.979592,1,0.452991,1,0.547009,0.623529,0.988732,1.011396,0.000011
5,159,0,191,5,0.97449,1,0.454286,1,0.545714,0.624754,0.985915,1.014286,0.000012
6,159,0,190,6,0.969388,1,0.455587,1,0.544413,0.625984,0.983099,1.017192,0.000012
7,159,0,189,7,0.964286,1,0.456897,1,0.543103,0.627219,0.980282,1.020115,0.000013
8,159,0,188,8,0.959184,1,0.458213,1,0.541787,0.628458,0.977465,1.023055,0.000013
9,159,0,187,9,0.954082,1,0.459538,1,0.540462,0.629703,0.974648,1.026012,0.000013
10,159,0,186,10,0.94898,1,0.46087,1,0.53913,0.630952,0.971831,1.028986,0.000014
11,159,0,185,11,0.943878,1,0.462209,1,0.537791,0.632207,0.969014,1.031977,0.000014
12,159,0,184,12,0.938776,1,0.463557,1,0.536443,0.633466,0.966197,1.034985,0.000015
13,159,0,183,13,0.933673,1,0.464912,1,0.535088,0.634731,0.96338,1.038012,0.000015
14,159,0,182,14,0.928571,1,0.466276,1,0.533724,0.636,0.960563,1.041056,0.000015
15,159,0,181,15,0.923469,1,0.467647,1,0.532353,0.637275,0.957746,1.044118,0.000015
16,159,0,180,16,0.918367,1,0.469027,1,0.530973,0.638554,0.95493,1.047198,0.000015
17,159,0,179,17,0.913265,1,0.470414,1,0.529586,0.639839,0.952113,1.050296,0.000016
18,159,0,178,18,0.908163,1,0.47181,1,0.52819,0.641129,0.949296,1.053412,0.000016
19,159,0,177,19,0.903061,1,0.473214,1,0.526786,0.642424,0.946479,1.056548,0.000017
20,159,0,176,20,0.897959,1,0.474627,1,0.525373,0.643725,0.943662,1.059701,0.000017
21,159,0,175,21,0.892857,1,0.476048,1,0.523952,0.64503,0.940845,1.062874,0.000017
22,159,0,174,22,0.887755,1,0.477477,1,0.522523,0.646341,0.938028,1.066066,0.000019
23,159,0,173,23,0.882653,1,0.478916,1,0.521084,0.647658,0.935211,1.069277,0.000019
24,159,0,172,24,0.877551,1,0.480363,1,0.519637,0.64898,0.932394,1.072508,0.00002
25,159,0,171,25,0.872449,1,0.481818,1,0.518182,0.650307,0.929577,1.075758,0.000021
26,159,0,170,26,0.867347,1,0.483283,1,0.516717,0.651639,0.926761,1.079027,0.000022
27,159,0,169,27,0.862245,1,0.484756,1,0.515244,0.652977,0.923944,1.082317,0.000022
28,159,0,168,28,0.857143,1,0.486239,1,0.513761,0.654321,0.921127,1.085627,0.000023
29,159,0,167,29,0.852041,1,0.48773,1,0.51227,0.65567,0.91831,1.088957,0.000023
30,159,0,166,30,0.846939,1,0.489231,1,0.510769,0.657025,0.915493,1.092308,0.000025
31,159,0,165,31,0.841837,1,0.490741,1,0.509259,0.658385,0.912676,1.095679,0.000025
32,159,0,164,32,0.836735,1,0.49226,1,0.50774,0.659751,0.909859,1.099071,0.000025
33,159,0,163,33,0.831633,1,0.493789,1,0.506211,0.661123,0.907042,1.102484,0.000025
34,159,0,162,34,0.826531,1,0.495327,1,0.504673,0.6625,0.904225,1.105919,0.00003
35,159,0,161,35,0.821429,1,0.496875,1,0.503125,0.663883,0.901408,1.109375,0.000031
36,159,0,160,36,0.816327,1,0.498433,1,0.501567,0.665272,0.898592,1.112853,0.000031
37,159,0,159,37,0.811224,1,0.5,1,0.5,0.666667,0.895775,1.116352,0.000035
38,159,0,158,38,0.806122,1,0.501577,1,0.498423,0.668067,0.892958,1.119874,0.000038
39,159,0,157,39,0.80102,1,0.503165,1,0.496835,0.669474,0.890141,1.123418,0.000038
40,159,0,156,40,0.795918,1,0.504762,1,0.495238,0.670886,0.887324,1.126984,0.000042
41,159,0,155,41,0.790816,1,0.506369,1,0.493631,0.672304,0.884507,1.130573,0.000048
42,159,0,154,42,0.785714,1,0.507987,1,0.492013,0.673729,0.88169,1.134185,0.000056
