@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,163,0,189,0,1,1,0.463068,1,0.536932,0.63301,1,1,0
1,162,1,146,43,0.772487,0.993865,0.525974,0.993865,0.474026,0.687898,0.875,1.135846,0.01
2,162,1,122,67,0.645503,0.993865,0.570423,0.993865,0.429577,0.724832,0.806818,1.231833,0.02
3,162,1,104,85,0.550265,0.993865,0.609023,0.993865,0.390977,0.755245,0.755682,1.31519,0.03
4,161,2,94,95,0.497354,0.98773,0.631373,0.98773,0.368627,0.770335,0.724432,1.363455,0.04
5,161,2,86,103,0.455026,0.98773,0.651822,0.98773,0.348178,0.785366,0.701705,1.407615,0.05
6,160,3,70,119,0.37037,0.981595,0.695652,0.981595,0.304348,0.814249,0.653409,1.502267,0.06
7,160,3,62,127,0.328042,0.981595,0.720721,0.981595,0.279279,0.831169,0.630682,1.556403,0.07
8,160,3,54,135,0.285714,0.981595,0.747664,0.981595,0.252336,0.848806,0.607955,1.614586,0.08
9,160,3,51,138,0.269841,0.981595,0.758294,0.981595,0.241706,0.855615,0.599432,1.637543,0.09
10,160,3,47,142,0.248677,0.981595,0.772947,0.981595,0.227053,0.864865,0.588068,1.669186,0.1
11,160,3,45,144,0.238095,0.981595,0.780488,0.981595,0.219512,0.869565,0.582386,1.685471,0.11
12,160,3,40,149,0.21164,0.981595,0.8,0.981595,0.2,0.881543,0.568182,1.727607,0.12
13,160,3,36,153,0.190476,0.981595,0.816327,0.981595,0.183673,0.891365,0.556818,1.762865,0.13
14,160,3,35,154,0.185185,0.981595,0.820513,0.981595,0.179487,0.893855,0.553977,1.771905,0.15
15,160,3,34,155,0.179894,0.981595,0.824742,0.981595,0.175258,0.896359,0.551136,1.781039,0.16
16,160,3,30,159,0.15873,0.981595,0.842105,0.981595,0.157895,0.906516,0.539773,1.818534,0.17
17,159,4,28,161,0.148148,0.97546,0.850267,0.97546,0.149733,0.908571,0.53125,1.83616,0.18
18,159,4,27,162,0.142857,0.97546,0.854839,0.97546,0.145161,0.911175,0.528409,1.846032,0.19
19,159,4,26,163,0.137566,0.97546,0.859459,0.97546,0.140541,0.913793,0.525568,1.856011,0.22
20,159,4,25,164,0.132275,0.97546,0.86413,0.97546,0.13587,0.916427,0.522727,1.866098,0.23
21,159,4,24,165,0.126984,0.97546,0.868852,0.97546,0.131148,0.919075,0.519886,1.876295,0.25
22,159,4,23,166,0.121693,0.97546,0.873626,0.97546,0.126374,0.921739,0.517045,1.886604,0.27
23,158,5,22,167,0.116402,0.969325,0.877778,0.969325,0.122222,0.921283,0.511364,1.895569,0.28
24,158,5,20,169,0.10582,0.969325,0.88764,0.969325,0.11236,0.926686,0.505682,1.916868,0.3
25,158,5,18,171,0.095238,0.969325,0.897727,0.969325,0.102273,0.932153,0.5,1.93865,0.31
26,158,5,17,172,0.089947,0.969325,0.902857,0.969325,0.097143,0.934911,0.497159,1.949728,0.32
27,157,6,16,173,0.084656,0.96319,0.907514,0.96319,0.092486,0.934524,0.491477,1.959786,0.36
28,156,7,16,173,0.084656,0.957055,0.906977,0.957055,0.093023,0.931343,0.488636,1.958625,0.37
29,155,8,15,174,0.079365,0.95092,0.911765,0.95092,0.088235,0.930931,0.482955,1.968964,0.38
30,155,8,14,175,0.074074,0.95092,0.91716,0.95092,0.08284,0.933735,0.480114,1.980615,0.39
31,155,8,13,176,0.068783,0.95092,0.922619,0.95092,0.077381,0.936556,0.477273,1.992404,0.41
32,155,8,12,177,0.063492,0.95092,0.928144,0.95092,0.071856,0.939394,0.474432,2.004335,0.42
33,154,9,11,178,0.058201,0.944785,0.933333,0.944785,0.066667,0.939024,0.46875,2.015542,0.44
