@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,322,0,277,0,1,1,0.537563,1,0.462437,0.69924,1,1,0.023207
1,321,1,202,75,0.729242,0.996894,0.613767,0.996894,0.386233,0.759763,0.873122,1.141759,0.06592
2,321,1,201,76,0.725632,0.996894,0.614943,0.996894,0.385057,0.760664,0.871452,1.143946,0.071586
3,320,2,194,83,0.700361,0.993789,0.622568,0.993789,0.377432,0.76555,0.858097,1.158131,0.075992
4,319,3,140,137,0.505415,0.990683,0.694989,0.990683,0.305011,0.816901,0.766277,1.292852,0.088061
5,319,3,136,141,0.490975,0.990683,0.701099,0.990683,0.298901,0.821107,0.759599,1.304218,0.090894
6,319,3,132,145,0.476534,0.990683,0.707317,0.990683,0.292683,0.825356,0.752922,1.315785,0.09848
7,315,7,89,188,0.3213,0.978261,0.779703,0.978261,0.220297,0.867769,0.674457,1.450441,0.120343
8,311,11,81,196,0.292419,0.965839,0.793367,0.965839,0.206633,0.871148,0.654424,1.47586,0.161173
9,311,11,57,220,0.205776,0.965839,0.845109,0.965839,0.154891,0.901449,0.614357,1.572112,0.257114
10,309,13,51,226,0.184116,0.959627,0.858333,0.959627,0.141667,0.906158,0.601002,1.596713,0.273718
11,309,13,50,227,0.180505,0.959627,0.860724,0.959627,0.139276,0.907489,0.599332,1.601161,0.276245
12,308,14,50,227,0.180505,0.956522,0.860335,0.956522,0.139665,0.905882,0.597663,1.600437,0.314933
13,305,17,43,234,0.155235,0.947205,0.876437,0.947205,0.123563,0.910448,0.580968,1.63039,0.348081
14,304,18,43,234,0.155235,0.944099,0.876081,0.944099,0.123919,0.908819,0.579299,1.629728,0.355029
15,303,19,43,234,0.155235,0.940994,0.875723,0.940994,0.124277,0.907186,0.577629,1.629062,0.365373
16,303,19,37,240,0.133574,0.940994,0.891176,0.940994,0.108824,0.915408,0.567613,1.65781,0.399444
17,299,23,32,245,0.115523,0.928571,0.903323,0.928571,0.096677,0.915773,0.552588,1.680406,0.447085
18,292,30,27,250,0.097473,0.906832,0.915361,0.906832,0.084639,0.911076,0.532554,1.702798,0.469061
19,284,38,25,252,0.090253,0.881988,0.919094,0.881988,0.080906,0.900158,0.51586,1.709743,0.491925
20,282,40,24,253,0.086643,0.875776,0.921569,0.875776,0.078431,0.898089,0.510851,1.714347,0.52526
21,268,54,9,268,0.032491,0.832298,0.967509,0.832298,0.032491,0.894825,0.462437,1.799807,0.647542
22,267,55,9,268,0.032491,0.829193,0.967391,0.829193,0.032609,0.892977,0.460768,1.799588,0.648911
23,264,58,9,268,0.032491,0.819876,0.967033,0.819876,0.032967,0.887395,0.45576,1.798922,0.670869
24,263,59,9,268,0.032491,0.81677,0.966912,0.81677,0.033088,0.885522,0.45409,1.798696,0.710564
25,262,60,9,268,0.032491,0.813665,0.96679,0.813665,0.03321,0.883642,0.452421,1.798469,0.754575
26,259,63,9,268,0.032491,0.804348,0.966418,0.804348,0.033582,0.877966,0.447412,1.797777,0.756914
27,258,64,9,268,0.032491,0.801242,0.966292,0.801242,0.033708,0.876061,0.445743,1.797543,0.78804
28,254,68,8,269,0.028881,0.78882,0.969466,0.78882,0.030534,0.869863,0.437396,1.803447,0.802939
29,253,69,7,270,0.025271,0.785714,0.973077,0.785714,0.026923,0.869416,0.434057,1.810165,0.811965
30,240,82,5,272,0.018051,0.745342,0.979592,0.745342,0.020408,0.846561,0.409015,1.822284,0.813892
31,238,84,5,272,0.018051,0.73913,0.979424,0.73913,0.020576,0.842478,0.405676,1.821972,0.823202
32,221,101,3,274,0.01083,0.686335,0.986607,0.686335,0.013393,0.809524,0.373957,1.835334,0.864126
33,220,102,3,274,0.01083,0.68323,0.986547,0.68323,0.013453,0.807339,0.372287,1.835223,0.894151
34,210,112,2,275,0.00722,0.652174,0.990566,0.652174,0.009434,0.786517,0.353923,1.842699,0.90906
35,208,114,2,275,0.00722,0.645963,0.990476,0.645963,0.009524,0.781955,0.350584,1.842532,0.913639
36,206,116,2,275,0.00722,0.639752,0.990385,0.639752,0.009615,0.777358,0.347245,1.842361,0.936942
37,203,119,2,275,0.00722,0.630435,0.990244,0.630435,0.009756,0.770398,0.342237,1.8421,0.937296
38,198,124,2,275,0.00722,0.614907,0.99,0.614907,0.01,0.758621,0.33389,1.841646,0.938036
39,197,125,2,275,0.00722,0.611801,0.98995,0.611801,0.01005,0.756238,0.33222,1.841552,0.943274
40,196,126,2,275,0.00722,0.608696,0.989899,0.608696,0.010101,0.753846,0.330551,1.841458,0.952049
