@relation Phishing.Detection-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant numeric
@attribute NOofDomainNamecandidatesinHostnameandContent numeric
@attribute NOofDomainNamecandidatesinHostname numeric
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant numeric
@attribute TitlevsDomainNamecandidatesinHostname numeric
@attribute FrequentTermsvsHostDomain numeric
@attribute CopyrightvsRegistrant numeric
@attribute DomainNamecandidatesinAnchorsvsRegistrant numeric
@attribute phising {true,false}

@data
http,11,3,3,false,33,32,6,-1,-1,true
http,6,0,0,false,6,16,6,-1,-1,true
https,48,109,109,false,72,50,3,49,52,false
https,7.634715,7.226403,6.494191,false,23.243084,23.354723,5.786563,-1,15.531253,false
http,11,5,5,false,16,29,20,13,-1,true
https,5.137881,0.206301,0.397285,false,10.438459,10.577922,6,-1,11.879697,false
http,11,2,2,false,32,32,11,12,18,true
http,12,3,3,false,63,74,23,-1,16,true
http,10,1.010424,1.000536,false,55,52,10.841183,-1,17,false
http,3.465674,67.908784,66.559775,false,82.462073,85.23043,6.241169,4.736018,8.158824,false
http,12.954691,5.226505,2.256165,false,57.586701,52.894384,12.369743,-1,17.0078,false
http,-1,0,0,false,-1,28,6,-1,-1,true
https,10.665167,2.813094,0.372727,false,33.504175,36.937364,8.488234,-1,16.039424,false
http,5,1,1,false,16,19,8,-1,12,true
http,7,0,0,false,7,18,11,-1,-1,true
https,11.119116,148.593895,154.577135,false,16.155751,19.048297,6.14588,16.570872,11.60556,false
http,10,1.486589,1.482326,false,55,52,10.884513,-1,17,false
http,9.737628,5,5,false,51.11196,50.727057,7.820802,0.033355,16.648001,false
https,18,6.738235,6.92154,false,35,43.002615,16.585559,12.027511,23.833123,false
https,9.596243,2.454328,2.031734,false,24.518048,24.472484,7.637983,5.913043,13.585808,false
http,27.223471,3,3,false,36.089595,23.223973,7.692882,-1,35.696269,false
http,-1,4,4,false,-1,25,7,-1,-1,false
https,12.575873,2.771606,3.356019,false,42.426633,52.740055,11.250112,-1,17.89388,false
https,10.336141,33.841722,30.681659,false,32.024864,25.530529,10.849764,2.641776,15.241439,false
https,5,13.068072,12.435354,false,13.571704,23.47998,5.824085,5.489902,11.191664,false
http,-1,0,0,false,-1,34,6,-1,-1,true
http,-1,1,1,false,-1,52,12,-1,-1,true
http,7,1,1,false,22,22,7,-1,-1,true
http,-1,0,0,false,-1,7,2,-1,-1,true
http,9,0,0,false,9,24,20,-1,-1,true
https,12,6,6,false,25,12,13,-1,19,false
https,10,100.000223,101.680225,false,55.882203,45.548841,17,12,16.000001,false
http,7,0,0,false,12,15,10,-1,17,true
http,2.154175,65.43416,60.434911,false,88.862116,97.295995,6.602735,4.066824,6.060011,false
http,11.869896,2.239099,2.121018,false,50.31594,49.072754,11.094268,-1,17.075543,false
http,9,2,2,false,73,77,13,10,12,true
https,9.857495,22.457463,23.900215,false,19.251056,21.068103,9.283189,12.770956,18.211193,false
http,12,38,38,false,41,29,11,12,21,true
https,17.207011,0.021911,0.155834,false,20.543773,15.257754,8.862503,-1,-1,false
https,4.823184,1.369891,0.893044,false,4.900815,14.758567,7.41422,-0.303351,-1,false
https,16.886292,31.167013,37.747398,false,21.775725,10.797243,6,5.108111,21.622578,false
http,9,231,231,false,64,65,10,11,17,true
http,8,1,1,false,91,98,15,9,11,true
https,14.462258,121.464591,124.351849,false,21.847241,15.827522,11.844933,7.88595,22.797344,false
http,-1,112,112,false,-1,24,9,-1,-1,true
http,13,0,0,false,27,42,5,-1,-1,true
http,8,1,1,false,44,52,10,10,15,true
https,6,11.890074,11.943337,false,17.363258,17.232595,6,-1,12,false
http,-1,1,1,false,-1,57,4,-1,-1,true
http,11,1,1,false,26,32,17,-1,-1,true
https,15,60,59,false,66,64,5,15,22,false
http,18,1,1,false,31,30,13,20,22,true
https,18.946601,4.444352,4.848611,false,36.224573,40.663007,11.756987,18.307512,24.750663,false
https,9.753608,33.841722,30.681659,false,32.13961,31.015061,10.467652,2.043272,15.098612,false
https,5,13.991119,12.592028,false,12.0239,20.494612,6,6.093718,10.984018,false
http,18,0,0,false,35,2,2,-1,26,true
http,-1,1,1,false,-1,96,13,-1,-1,true
https,16.46014,4.281445,5.128959,false,25.85643,11.909066,3.82963,-1,21.498164,false
http,26.512708,4.669467,4.121925,false,33.618086,23.664503,7.392892,-1,37.048591,false
https,6.98188,5,5,false,51.07686,51.865366,6.786961,1.759367,15.515807,false
https,23,4,4,false,29,14,3,21,25,false
https,12.091081,13.921595,14.079313,false,24,28.776653,11.575873,13.045469,16.697711,false
https,16.22208,6.332719,6.951849,false,36.795592,38.268154,16.613922,12.011519,24.456462,false
https,1.274175,33.949216,31.822069,false,27.656609,32.421302,9.816519,0.356203,15.556335,false
http,14,1,1,false,50,48,8,16,21,true
https,18,1,1,false,26,6,2,-1,25,false
http,14,1,1,false,23,32,4,-1,-1,true
https,15,74,74,false,64,63,6,12,21,false
https,5,12.733543,11.563477,false,14.516789,25.963994,5.174248,5.539762,11.641837,false
https,16.56785,0.847971,1.211607,false,42.011593,36.531317,9.870319,14.760765,16.185116,false
https,12.649238,29.362812,32.761271,false,53.246745,53.292444,8.813025,12.915938,19,false
http,16,0,0,false,16,14,14,-1,-1,true
http,12.252639,27.223899,24.550817,false,42.521187,47.078002,8.623212,12.017058,18.071551,false
https,7.283015,4.935838,4.98955,false,44.20026,50.029516,7.018289,3.438992,13.659908,false
http,1,0,0,false,11,2,2,-1,8,true
http,13,1,1,false,40,42,15,14,21,true
http,8,0,0,false,36,6,2,-1,16,true
http,13,1,1,false,40,42,15,14,21,true
http,10,1,1,false,19,20,11,-1,-1,true
http,6,1,1,false,21,48,11,-1,-1,true
http,37,0,0,false,37,30,30,-1,-1,true
https,16.46994,3.825752,8.710444,false,30.832192,30.214125,6.31305,15.087317,20.502191,false
http,51,1,1,false,64,35,11,55,50,false
https,17.609996,6.589871,6.993978,false,35.1669,42.385953,16.802846,12.018886,23.846473,false
https,47.275491,109.919475,108.586408,false,38.882932,44.354741,8.237532,19.053819,33.137611,false
https,10.384128,120.923286,105.928247,false,44.689829,41.590655,16.925705,13.16564,19.080503,false
http,11,0,0,false,11,10,10,-1,-1,true
http,6,0,0,false,6,16,6,-1,-1,true
http,22,0,0,false,36,28,4,-1,-1,true
https,5.485915,3.221726,1.964395,false,11.574185,16.413806,6.979774,0.299358,8.021237,false
http,5,0,0,false,5,17,13,-1,-1,true
https,9.034721,2.883647,5.465351,false,9.727977,17.549248,10.330894,-1,14.345831,false
http,10,0,0,false,24,33,4,-1,-1,true
https,9.012787,5.19111,8.640523,false,84.316031,92.059217,11.823997,-0.078714,20.178505,false
https,4.993047,0.478213,0.890363,false,3.781332,14.296578,7.312165,-1,-1,false
http,21.081655,6.235144,5.304745,false,53.168893,50.925899,11.992518,18.188695,26.112452,false
http,13,1,1,false,40,42,15,14,21,true
http,8.764463,12.723238,12.646648,false,68.532092,72.68758,7.957561,4.725948,13.913097,false
https,14.34464,120.573783,122.58509,false,20.503169,15.271099,9.968008,7.44454,20.919819,false
https,9.329268,11.931842,11.648935,false,18.946868,16.211177,6.179708,-1,14.103103,false
https,5.932753,5.274222,5.102325,false,15.298234,19,9.694658,7.602515,12.787939,false
https,3.138831,30.690707,29.23678,false,29.506874,31.324519,8.519804,3.714464,16.392186,false
https,16,11,11,false,29,24,6,-1,22,false
http,9,1,1,false,18,18,9,-1,-1,true
https,30.934398,0,0,false,35.889138,16,3.833301,-1,-1,false
